110603,"What to do on this cold, rainy day?!",south dakota,,0,0.387,0.613,0,0,0.804,0,0.196,0,0,0.796,0,0,0,0,0,0,0,1,0,0,0,0,0,
80601,Its May. It should be like 80 degrees? Not 60. #ihateohioweather,ohio,"Cleveland, OH",0.159,0.841,0,0,0,0.828,0,0.172,0,0,0.841,0,0,0,0,0,0,0.159,0,0,0,0,0,0,-2
98950,Forecast update is just minutes away.  Looks like shorts and t-shirt weather for the weekend.  See you on Fox 6.,alabama,Birmingham,0,0,0.407,0.593,0,0.19,0.81,0,0,0,0,0,0.388,0,0,0.418,0,0,0,0,0,0.384,0,0,
53212,2 hour ride.  Staying local and enjoying the sunshine.,minnesota,Minneapolis-St. Paul,0,0,0.2,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
57975,"@mention Whoa.... Scarlett ""Knuth""..... Cool and Congrats!  SD is cold?  Nor cal is nice and toasty:p. Come check it out :O",california,"Sacramento, CA",0,0,0,0.802,0.198,1,0,0,0,0,0.519,0,1,0,0,0,0,0.232,0,0,0,0,0,0,
98954,Great rainy day craft! Make Baked Crayon Art | Education.com: {link} via @mention,new jersey,"Morris County, NJ",0,0,0.201,0.799,0,0.415,0,0.585,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
81049,Yay! No school on FRIDAY! Why? Because my school didn't use all the snow days! YESH~,new york,New York ,0,0,0,0.199,0.801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
93520,Freezing cold...I hate rain!,ohio,"Cincinnati, Ohio",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
76578,#WEATHER:  7:52 am : 63.0F. Feels 63F. 29.78% Humidity. 5.8MPH Southeast Wind.,nebraska,,0,0,1,0,0,0.794,0,0.206,0,0,0,0,0,0.799,0,0,0,0.601,0,0,0,0,0,0.799,
34764,Rainy dayz make me sleepy and wanna watch cartoons all day:),california,"Antelope,CA",0,0.404,0.184,0.412,0,0.412,0,0.588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
22037,"RT @mention: Memphis is on the extreme Southern fringe of the ""High Risk"" area for Severe Weather this afternoon.  Nothing imminent.",florida,"Lakeland, Tn.",0,0,1,0,0,0.608,0.392,0,0,0,0,0,0,0,0,0.616,0,0.187,0,0,0.197,0,0,0,
31297,Weather Alert: Flood Warning issued May 24 at 10:25PM MDT expiring May 25 at 1:24PM MDT by NWS Glasgow {link}... {link},montana,"Glasgow, MT ",0,0,1,0,0,0.662,0.338,0,0,0,0,0,0,0,0,0.338,0,0.493,0.169,0,0,0,0,0,
74330,Running to your mommy room when it was a thunderstorm #ChildhoodMemories,georgia,"Albany,Georgia",0.185,0,0.41,0,0.405,0,0,0,1,0,0,0,0,0,0,0,0,0.351,0,0,1,0,0,0,
75123,@mention If it werent for that horrible humidity...,new mexico,"ABQ, NM",0,1,0,0,0,0.594,0,0.205,0.201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
71065,"You'd think if rapture was tomorrow, God would make today nicer weather. That way those left behind would be even more P!$$ed",oklahoma,oklahoma city,0,0.798,0,0,0.202,1,0,0,0,0,0,0,0,0,0,0.757,0,0.243,0,0,0,0,0,0,
95910,It's is SO hot outside. Outlet mall? Bad Idea.,texas,"Houston, TX",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
31755,"Just finished my last final, got free pizza and it's sunny out #winning #donezo",wisconsin,"Mequon, Wisconsin",0,0,0.191,0.809,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
